address,zipCode,city,state,price,bed,bath,sqft,pricePerSf,lotArea,lotAreaType,zillowUrl,latitude,longitude,homeType,imageUrl
"3061 Mistletoe Gdns, Oakville, ON L6M 0Y8",L6M0Y8,Oakville,ON,899990,3,3,1408,639.2,86.76,sqft,https://zillow.com/homedetails/3061-Mistletoe-Gdns-Oakville-ON-L6M-0Y8/351803627_zpid/,43.47212,-79.740746,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3bed4eef9b5f5f0f9328bebfc0b36d3b-p_e.jpg
"310 Morden Rd, Oakville, ON L6K 2S7",L6K2S7,Oakville,ON,899000,5,2,,,5341.508,sqft,https://zillow.com/homedetails/310-Morden-Rd-Oakville-ON-L6K-2S7/2063721038_zpid/,43.43734,-79.68982,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f766c2351c29925b7b84ef02f3163326-p_e.jpg
"1342 Roylen Rd, Oakville, ON L6H 1V4",L6H1V4,Oakville,ON,999999,4,2,,,2728.699,sqft,https://zillow.com/homedetails/1342-Roylen-Rd-Oakville-ON-L6H-1V4/2073256882_zpid/,43.457787,-79.70906,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f021ca23f5ca0b080e688e408ec98389-p_e.jpg
"63 Washington Ave, Oakville, ON L6K 1W5",L6K1W5,Oakville,ON,999000,3,1,,,0.1,sqft,https://zillow.com/homedetails/63-Washington-Ave-Oakville-ON-L6K-1W5/447650756_zpid/,43.444782,-79.68179,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4142703bb52b0bf64a09e0388145d19f-p_e.jpg
"3072 Stornoway Cir, Oakville, ON L6M 5H7",L6M5H7,Oakville,ON,999900,3,3,1752,570.72,1496.0448,sqft,https://zillow.com/homedetails/3072-Stornoway-Cir-Oakville-ON-L6M-5H7/449842355_zpid/,43.432636,-79.77794,TOWNHOUSE,https://photos.zillowstatic.com/fp/ce2ef9e1de6f40f2418d02686601e528-p_e.jpg
"1250 Marlborough Ct #28, Oakville, ON L6H 2W7",L6H2W7,Oakville,ON,889000,3,3,,,,,https://zillow.com/homedetails/1250-Marlborough-Ct-28-Oakville-ON-L6H-2W7/2060972436_zpid/,43.467262,-79.694565,TOWNHOUSE,https://photos.zillowstatic.com/fp/3b3a0303b5cd3064165bd446f77999b6-p_e.jpg
"54 The Greenery, Oakville, ON L6H 6J7",L6H6J7,Oakville,ON,999000,3,4,,,1609.8896,sqft,https://zillow.com/homedetails/54-The-Greenery-Oakville-ON-L6H-6J7/2072248130_zpid/,43.472836,-79.721794,TOWNHOUSE,https://photos.zillowstatic.com/fp/89037a08301796687051ab6e7604b0db-p_e.jpg
"445 Samford Pl, Oakville, ON L6L 4E7",L6L4E7,Oakville,ON,1418000,4,2,,,7475,sqft,https://zillow.com/homedetails/445-Samford-Pl-Oakville-ON-L6L-4E7/449715722_zpid/,43.414917,-79.7103,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4f7f3c6cad20a72c864cc886b6f98617-p_e.jpg
"128 Garden Dr UNIT 420, Oakville, ON L6K 0H7",L6K0H7,Oakville,ON,798000,2,2,930,858.06,,,https://zillow.com/homedetails/128-Garden-Dr-UNIT-420-Oakville-ON-L6K-0H7/2069284288_zpid/,43.43652,-79.68028,CONDO,https://photos.zillowstatic.com/fp/339e3ba247cd2aed4e924ed82d0f48aa-p_e.jpg
